DOIs (Digital Object Identifiers),Title,Abstract,Person,Journal title,Sustainable Development Goals
https://doi.org/10.1016/j.technovation.2021.102363,Absorbing knowledge from an emerging field,"<p>Engaging with knowledge from an emerging field, with its promises and limitations still uncertain, can be challenging for incumbent firms. Proponents of novel technologies within these firms then play an important role in bridging the developments in the field with the rest of the firm. In this study, we explore how researchers in big pharma firms engaged with knowledge from a promising, yet once-speculative approach called fragment-based drug discovery (FBDD). To set the context, we mapped the publications and drugs in clinical trials coming from this approach across big pharma firms. Through our unique access to researchers in two big pharma firms (an early and a late adopter), we conducted a case study to explore how researchers built the capability within their firms. We find that at each stage of knowledge absorption (search and recognize value, assimilate, acquire, transform and exploit), proponents perform both internal- and external-facing activities to overcome uncertainties with regards to the field. We find that the emphasis of these activities evolves over time as the field evolves. In the early days of the field, proponents of the approach motivated knowledge absorption by emphasizing the internal needs of the firm. As the field matured, with its value becoming increasingly known, proponents lean on the exciting developments in the field to motivate further the adoption of the technology. In general, we find that proponents strategically tuned their external activities to cater to their internal context and similarly, adapted their internal activities to reflect external developments. By exploring interfacing in an emerging field, this study provides insights into how practitioners in large incumbent firms can adapt to the emergence of novel technologies.</p>","van der Sijde, P. (+2 more)",Technovation,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1108/JSTPM-03-2018-0034,Academic entrepreneurship in the context of education,"<p>Purpose: This study aims to extend literature on academic entrepreneurship and entrepreneurial networking by examining how academics, in their role of entrepreneurial educators, network for the creation and execution of novel teaching practices in cooperation with external actors. Design/methodology/approach: The empirical investigation is based on qualitative inquiry, using a case study approach. Specifically, eight cases originating at three universities in Germany, The Netherlands and Mexico were examined. The cases which constituted innovative teaching practices were selected following a replication logic. Each involved extensive participation of societal actors in course development or delivery and aimed to stimulate students to work on real life challenges and disseminate novel knowledge back to the world of practice. All courses were either introduced or taught by educators who possessed different levels and types of academic and industrial or entrepreneurial experience. Findings: Based on eight cases the authors found that the networking behaviour of entrepreneurial educators is crucial for the generation of proximity with external actors and for the acquisition of key resources, such as an external actor to participate in teaching practice and for the generation of legitimacy for their innovations in teaching. The entrepreneurial and industrial experience of entrepreneurial educators emerges as an affordance to network with external actors, helping them to achieve a common understanding of the opportunity and to generate trust among them. Practical implications: This study equips managers of higher education institutions with critical insights into innovating the teaching mission of the university and developing closer and stronger relationships with external actors of the university. Originality/value: This study seeks to advance the literature on academic entrepreneurship by shifting the attention away from academic entrepreneurs as merely founders of spin-offs and collaborators with business on research and development towards entrepreneurial educators who see opportunities in establishing collaborations with external actors as part of their teaching activities. Further, it introduces the “social networking perspective” to this field. Vissa (2012) and Stam (2015) introduced this perspective as a logical extension to the study of the generation of social capital to reach entrepreneurial goals.</p>","Rossano Rivero, S.",Journal of Science and Technology Policy Management,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1016/j.phanu.2018.07.002,Accelerating microbiota product development,"<p>Despite their potential for preventing and reducing diseases, the availability of marketed probiotics with a relevant health or risk reduction claim is lagging behind. Food and pharmaceutical companies, as well as universities, are challenged to collaborate across the innovation value chain to deliver on the promises of microbiota research and development. A shared understanding of the knowledge valorization process is essential for the success of such public-private partnerships. Conceptual models enable stakeholders to discuss and understand complex processes and their corresponding activities but current models are lacking granularity in terms of activities taking place. Building upon the microbiota valorization and technology transfer cycle, this review synthesizes 32 conceptual models on knowledge valorization into a Societal Impact Value Cycle that describes relevant activities. The cycle is contextualized to the microbiota industry and 8 key points for successful innovation are highlighted. The model elucidates the importance of including unmet needs in wider society for generating socioeconomic benefits. While market and society domains contained the highest number of barriers in the probiotics industry, they were scarcely covered by the reviewed literature, highlighting their underexposure. The resulting generally applicable model aids stakeholders in outlining a thorough strategy to deliver really new and radical innovations.</p>","van der Waal, M.B. (+2 more)",PharmaNutrition,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1016/j.phanu.2020.100208,A critical appreciation of intangible resources in PharmaNutrition,"<p>Background: Organizations in knowledge-intensive industries such as the field of PharmaNutrition benefit from a critical consideration of intangible resources for innovation performance and competitive advantage. Effective management of these resources, however, is complicated due to difficulties in their identification, appropriation, application, and evaluation. As a consequence, knowledge-intensive organizations are at risk of suboptimal exploitation of their most important value drivers. Methods: The literature on organizational intangible resources was reviewed as part of an ongoing investigation into effective management of intangible resources in the PharmaNutrition-specific context. Results: Although high-level dimensions of intangible resources are recognized across industries, the identity and relevance of various lower-level components are heterogenous and dependent on organization's unique situational attributes. Despite the existence of historical, industry-sourced tick-the-box lists presented here, an analysis of industry-specific characteristics of intangible resources and mechanisms to appropriate their value is warranted to enable practitioners to innovate effectively and efficiently. Conclusions: This editorial aims to put the topics of intangible resources and their appropriability on the agenda, and invites scholars and practitioners to contribute to the advancement of our understanding regarding these topics through an online survey.</p>","van der Waal, R.X. (+3 more)",PharmaNutrition,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1104/pp.113.224394,A data integration and visualization resource for the metabolic network of synechocystis sp. PCC6803.,"Data integration is a central activity in systems biology. The integration of genomic, transcript, protein, metabolite, flux, and computational data yields unprecedented information about the system level functioning of organisms. Often, data integration is done purely computationally, leaving the user with little insight in addition to statistical information. In this article, we present a visualization tool for the metabolic network of Synechocystis sp. PCC 6803, an important model cyanobacterium for sustainable biofuel production. We illustrate how this metabolic map can be used to integrate experimental and computational data for Synechocystis sp. PCC 6803 systems biology and metabolic engineering studies. Additionally, we discuss how this map, and the software infrastructure that we supply with it, can be used in the development of other organism-specific metabolic network visualizations. In addition to the Python console package VoNDA (http://vonda.sf.net), we provide a working demonstration of the interactive metabolic map and the associated Synechocystis sp. PCC 6803 genome-scale stoichiometric model, as well as various ready-to-visualize microarray data sets, at http://f-a-m-e.org/synechocytis. © 2014 American Society of Plant Biologists. All rights reserved.","Maarleveld, T.R. (+3 more)",Plant Physiology,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.phanu.2013.02.002,A decision framework to evaluate intellectual property strategies in the medical nutrition market.,"In the medical nutrition (MN) market, insights into the motives driving intellectual property (IP) protection strategies remain unclear. This emerging market has expressed the pressing need for clarity on the subject of applicable IP methods. The aim of this study is therefore to evaluate the role of patents and alternative IP instruments for the protection of innovations in the MN market, and to construct an IP decision framework facilitating IP selection. Data collection consists of a literature study on the topic of IP strategies, combined with a supplementary questionnaire sent out to MN companies.Although there are many different strategic motives to apply for a patent in the MN market, the classic protective motives prove to be most important. While our findings acknowledge that patenting is of paramount importance to this industry, different scenarios call for combining the various IP methods for the optimal protection of the MN innovation. One must therefore always carefully consider additional IP rights. Our IP decision framework provides both MN companies and academic R&D departments with a tool to assess the best applicable IP strategy for the protection of MN inventions. © 2013 .","Claassen, H.J.H.M. (+1 more)",PharmaNutrition,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1002/ejoc.201601222,A Direct Catalytic Synthesis of Sodium Diarylphosphinates and Their Corresponding Acids from Sodium Phosphinate,"Widely available, hazard-free sodium phosphinate directly furnishes sodium diarylphosphinates and their corresponding acids in yields up to 86 % by using Pd-catalysis. This versatile method tolerates moieties such as keto and carboxyl, incompatible with the classical Grignard or organolithium reagents. This route also eliminates the need for PCl3 and alkyl- or ammoniumphosphinates.","Botez, L. (+1 more)",European Journal of Organic Chemistry,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1080/10438599800000023,Adoption of advanced manufacturing technology and firm performance in the Netherlands,,"Bartelsman, E.J.",Economics of Innovation and New Technology,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1109/PICMET.2008.4599647,A dynamic view of technological regime concept,"<p>It is beyond dispute that technological change acts as a driver of economic growth. In developing countries where highly suffer from lack of this process, incremental innovation is considered as main source of technology capability building and development In moving toward this pass and to meet with time pressure of catching up, developing countries acquire the initial required knowledge base through technology absorption from outside sources; On the other hand as development is a lengthy process, it is important that the absorbed knowledge still has the potential of more advancement in future. Therefore a selection instrument with ability of assessing different knowledge base or technologies in a dynamic way is highly attractive for decision makers. In this paper we propose the concept of dynamic technological regime as a selection framework with promising feature of avoiding investment in wrong technologies for developing countries.</p>","Rezazade Mehrizi, M.H.",,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1007/978-3-030-35330-8_10,Affordable Voice Services to Bridge the Digital Divide,"<p>Despite its global reach, the World Wide Web still fails to serve about 3 billion people, the majority living in the Global South, especially in poor, low-resource regions, where broadband internet is not expected to be rolled out in the foreseeable future. Yet, to bring the advantages of ICTs at the reach of communities in low-resource development regions, lightweight, affordable and context-aware ICT solutions are needed, that fit local needs and context. To this end the Kasadaka platform was developed. This platform supports easy creation of local-content and voice-based information services, targeting currently ‘unconnected’ populations, taking into account contextual and infrastructural requirements, and matching local ecosystems. The Kasadaka platform and its Voice Service Development Kit support the development of decentralized voice-based information services, to serve local populations and communities in their own local languages, in regions where Internet and Web are absent and will continue to be for the foreseeable future.</p>","Tuijp, W.A.M. (+3 more)",,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
